shopid,username_toko,nama_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon
70455877,tidurlebihbaik,TidurLebihBaik,3544907198,Kasur busa Lipat INOAC 160 x 200 x 10 cm Murah Garansi 5 tahun,170,70,1930,Yukata,2938,503910.0,503910.0,503910.0,509000.0,509000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,5363858619,Sofabed INOAC Busa EON D23 Garansi 5 Tahun,267,67,2264,Inoac,7105,573210.0,573210.0,573210.0,579000.0,579000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,7541324345,Kasur Busa INOAC Garansi Pasti 5 Tahun,326,154,4203,Yukata,5310,286110.0,286110.0,371250.0,289000.0,375000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,3958369429,Kasur Busa INOAC 200X90X14cm Garansi Pasti,278,43,736,Yukata,659,391050.0,391050.0,391050.0,395000.0,395000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,5535238785,Kasur busa Lipat INOAC 90 x 200 x 10 cm Murah Garansi 5 tahun,468,92,3897,Yukata,5329,296010.0,296010.0,385110.0,299000.0,389000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,4355748293,Kasur Busa Lipat INOAC 200X120X15cm Garansi Pasti,163,36,920,Yukata,1066,553410.0,553410.0,553410.0,559000.0,559000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,4358217768,Kasur Busa INOAC 200x160x10 Garansi Pasti 5 Tahun,367,21,655,Yukata,757,494010.0,494010.0,494010.0,499000.0,499000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,5760499657,Kasur Lantai Rebonded Garansi 10 tahun (Density 60),724,124,2953,Tidak ada merek,4726,160380.0,160380.0,219780.0,162000.0,222000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,4558275925,Kasur Busa INOAC 200X160X14cm Garansi Pasti,368,12,384,Yukata,398,668250.0,668250.0,668250.0,675000.0,675000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,5658271935,Kasur Busa INOAC 200X120X14cm Garansi Pasti,456,28,425,Yukata,252,509850.0,509850.0,509850.0,515000.0,515000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,4555748441,Kasur Busa Lipat INOAC 200X160X15cm Garansi Pasti,293,17,347,Yukata,366,721710.0,721710.0,721710.0,729000.0,729000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,11702534528,Kasur Busa INOAC Premium Tebal 20cm Garansi 10 Tahun,31,252,1841,Yukata,2355,569250.0,569250.0,737550.0,575000.0,745000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,4188325306,Kasur Busa INOAC Premium Tebal 20 cm Garansi 10 Tahun,703,17,451,Yukata,468,955350.0,955350.0,1089000.0,965000.0,1100000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,4853027517,Bantal Memory Foam,1301,32,555,Tidak Ada Merek,111,49401.0,49401.0,49401.0,49900.0,49900.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,4855747658,Kasur Busa Lipat INOAC 200X90X15cm Garansi Pasti,296,24,269,Yukata,342,434610.0,434610.0,434610.0,439000.0,439000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,8917437508,Kasur Lantai Gulung / Travel Bed ERLAND Garansi 10 Tahun,828,12,216,Tidak ada merek,430,282150.0,282150.0,341550.0,285000.0,345000.0,1%
70455877,tidurlebihbaik,TidurLebihBaik,3163723036,Kasur Busa Lipat INOAC Original 120x200x10 cm EON D.23,94,9,181,Yukata,124,524502.0,524502.0,524502.0,529800.0,529800.0,1%
