shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
187680181,hayu_beauty,KAB. KARANGANYAR,8717042819,Celana pendek kolor olahraga Harian Sport Celana Futsal/celana basket/Celana bola/celana Big size,278593,3295,69221,Tidak Ada Merek,5651,2365.0,2365.0,17820.0,5500.0,22000.0,57%,https://shopee.co.id/Celana-pendek-kolor-olahraga-Harian-Sport-Celana-Futsal-celana-basket-Celana-bola-celana-Big-size-i.187680181.8717042819
14600740,kenlaku_shoes2,KAB. SRAGEN,1850765968,SEPATU FUTSAL PAKET LENGKAP TERMURAH BEST SELLER TERBARU.,26264,1069,28380,Tidak Ada Merek,3570,89000.0,89000.0,109000.0,0,0,,https://shopee.co.id/SEPATU-FUTSAL-PAKET-LENGKAP-TERMURAH-BEST-SELLER-TERBARU.-i.14600740.1850765968
37150944,sportysport1,KOTA SURAKARTA (SOLO),1194762938,"SEPATU FUTSAL Nike Hypervenom, ACC, Tiempo, MERCURIAL X, Superfly Harga Promo Harga Grosir Murah",1186,2726,69767,Tidak Ada Merek,25230,89999.0,89999.0,95000.0,120000.0,120000.0,25%,"https://shopee.co.id/SEPATU-FUTSAL-Nike-Hypervenom,-ACC,-Tiempo,-MERCURIAL-X,-Superfly-Harga-Promo-Harga-Grosir-Murah-i.37150944.1194762938"
383476554,grosir_tas_official,KAB. BANJARNEGARA,3060950229,TAS RANSEL MURAH SPORT|TAS FUTSAL UNTUK Pria-wanita 10liter|TAS PUNGGUNG,8569,1428,11982,,737,18500.0,18500.0,18999.0,23000.0,26000.0,29%,https://shopee.co.id/TAS-RANSEL-MURAH-SPORTTAS-FUTSAL-UNTUK-Pria-wanita-10literTAS-PUNGGUNG-i.383476554.3060950229
285586412,sultansport30,KOTA SURAKARTA (SOLO),6243752047,"Tas sepatu termurah,tas sepatu sepakbola,futsal,tas sepatu voly,tas sepatu badminton tas sepatu serbaguna",9592,1339,31575,,2581,5600.0,5600.0,10900.0,6000.0,12000.0,9%,"https://shopee.co.id/Tas-sepatu-termurah,tas-sepatu-sepakbola,futsal,tas-sepatu-voly,tas-sepatu-badminton-tas-sepatu-serbaguna-i.285586412.6243752047"
383476554,grosir_tas_official,KAB. BANJARNEGARA,15406842642,TAS MURAH SPORT|TAS SEPATU FUTSAL|DAYPACK|TAS SEKOLAH ANAK 10L,12867,1284,5432,,286,18900.0,18900.0,18900.0,25000.0,25000.0,24%,https://shopee.co.id/TAS-MURAH-SPORTTAS-SEPATU-FUTSALDAYPACKTAS-SEKOLAH-ANAK-10L-i.383476554.15406842642
56352859,jenitashop,KOTA SURAKARTA (SOLO),5008286800,Paket komplit sepatu futsal Nike mercurial boots terbaru llok,407,1265,9892,Nike,4320,125000.0,125000.0,128700.0,0,0,,https://shopee.co.id/Paket-komplit-sepatu-futsal-Nike-mercurial-boots-terbaru-llok-i.56352859.5008286800
13325029,misbah_shop7,KOTA SURAKARTA (SOLO),12806229820,SEPATU 3Second Original Running Joging Shoes PROMO,47,3,12,,19,215360.0,215360.0,225360.0,469500.0,469500.0,54%,https://shopee.co.id/SEPATU-3Second-Original-Running-Joging-Shoes-PROMO-i.13325029.12806229820
244208198,hestyputri28,KAB. KEBUMEN,5058930798,TAS Sepatu FUTSAL PRIA & WANITA,2036,1141,13098,,1366,20000.0,20000.0,20000.0,0,0,,https://shopee.co.id/TAS-Sepatu-FUTSAL-PRIA-&-WANITA-i.244208198.5058930798
38255866,misport04,KAB. SRAGEN,1056266751,SEPATU FUTSAL ORTUSEIGHT JOGOSALA MARVELOUS SE OFF 2.0 WHITE CAMO,34799,7,21219,,2248,129000.0,129000.0,139000.0,0,0,,https://shopee.co.id/SEPATU-FUTSAL-ORTUSEIGHT-JOGOSALA-MARVELOUS-SE-OFF-2.0-WHITE-CAMO-i.38255866.1056266751
