shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
819063840,gamerashi,KAB. KEBUMEN,20427947746,Genshin Impact Totebag,11957,21,22,,2,57500.0,57500.0,345000.0,0,0,,https://shopee.co.id/Genshin-Impact-Totebag-i.819063840.20427947746
16871887,produsenraksepatu,KOTA SEMARANG,12342083801,TAS PANAHAN STANDAR NASIONAL,13,0,9,,23,350000.0,350000.0,350000.0,0,0,,https://shopee.co.id/TAS-PANAHAN-STANDAR-NASIONAL-i.16871887.12342083801
119363218,bintang5_souvenir,KAB. KUDUS,1889062578,PROMO TAS TERLARIS DI SHOPEE TAS ULTAH / ULANGTAHUN ANAK CUSTOM,1918946,67706,1243331,Tidak Ada Merek,18089,2375.0,2375.0,2375.0,0,0,,https://shopee.co.id/PROMO-TAS-TERLARIS-DI-SHOPEE-TAS-ULTAH---ULANGTAHUN-ANAK-CUSTOM-i.119363218.1889062578
340300009,semesta5shop,KAB. KUDUS,5766146347,Totebag Suvenir Pernikahan Wedding Nikah Gerabah Ultah Penganten Ulang Tahun Unik Lucu Souvenir,220766,60275,894549,Tidak Ada Merek,16530,1700.0,1700.0,3200.0,0,0,,https://shopee.co.id/Totebag-Suvenir-Pernikahan-Wedding-Nikah-Gerabah-Ultah-Penganten-Ulang-Tahun-Unik-Lucu-Souvenir-i.340300009.5766146347
21729598,souvenirsemesta,KAB. KUDUS,5702157426,Tas Ultah / Tas Ulang tahun Anak / Goodie Bag,729123,55776,743898,Tidak Ada Merek,17977,2350.0,2350.0,2350.0,0,0,,https://shopee.co.id/Tas-Ultah---Tas-Ulang-tahun-Anak---Goodie-Bag-i.21729598.5702157426
163356862,souvenirekita.id,KAB. JEPARA,5904341654,Tas Souvenir Pernikahan Undangan Ucapan Terima Kasih Wedding Nikah Pertunangan Engagement,553215,34529,434477,Tidak Ada Merek,7473,1708.0,1708.0,1708.0,2800.0,2800.0,39%,https://shopee.co.id/Tas-Souvenir-Pernikahan-Undangan-Ucapan-Terima-Kasih-Wedding-Nikah-Pertunangan-Engagement-i.163356862.5904341654
75103213,muria_store18,KAB. KUDUS,4017550863,Tas Ultah Murah  25x14x21-Muat Kotak Nasi KFC,133103,32960,163488,,2475,2399.0,2399.0,2399.0,0,0,,https://shopee.co.id/Tas-Ultah-Murah--25x14x21-Muat-Kotak-Nasi-KFC-i.75103213.4017550863
193759240,tas_ultah,KAB. KUDUS,5704635410,Tas Bento Resleting Uk 26 x 18 x 21 ( P x L xT ),27628,210,2187,Tidak Ada Merek,16,4599.0,4599.0,4599.0,0,0,,https://shopee.co.id/Tas-Bento-Resleting-Uk-26-x-18-x-21-(-P-x-L-xT-)-i.193759240.5704635410
275245867,ebbashop,KAB. KUDUS,3857591052,"[COD ]TAS ULTAH TERLARIS,  ULANG TAHUN, READY STOK",2117792,31991,265207,Tidak Ada Merek,11113,2999.0,2999.0,2999.0,0,0,,"https://shopee.co.id/[COD-]TAS-ULTAH-TERLARIS,--ULANG-TAHUN,-READY-STOK-i.275245867.3857591052"
215456823,kaloosh.,KAB. KUDUS,9078695611,UKURAN  LEBIH BESAR Tas Ultah kotak Bento / Tas Ulang Tahun / Goodie Bag BISA BELI SATUAN READY STOCK,20315052,4431,31003,,639,2550.0,2550.0,2550.0,0,0,,https://shopee.co.id/UKURAN--LEBIH-BESAR-Tas-Ultah-kotak-Bento---Tas-Ulang-Tahun---Goodie-Bag-BISA-BELI-SATUAN-READY-STOCK-i.215456823.9078695611
