shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
16545975,craft_loverz,KAB. TABANAN,4564836838,3pcs SILVER BOW MINI DECO Bahan Hias Tasbih Digital Aksesoris Tasbih Blink Handmade DIY,7,0,2,Tidak Ada Merek,2,8500.0,8500.0,8500.0,0,0,,https://shopee.co.id/3pcs-SILVER-BOW-MINI-DECO-Bahan-Hias-Tasbih-Digital-Aksesoris-Tasbih-Blink-Handmade-DIY-i.16545975.4564836838
1320690,dilacarolina,KAB. TABANAN,4116132615,Kalung Tassel Kayu Warna - Warni Tasbih Colorful Souvernir Bali,3,0,3,Tidak Ada Merek,5,10000.0,10000.0,10000.0,0,0,,https://shopee.co.id/Kalung-Tassel-Kayu-Warna---Warni-Tasbih-Colorful-Souvernir-Bali-i.1320690.4116132615
19121655,lindaacc,KOTA DENPASAR,345234088,tasbih giok 33 butir 88,99,0,1,giok,5,99000.0,99000.0,99000.0,0,0,,https://shopee.co.id/tasbih-giok-33-butir-88-i.19121655.345234088
8195263,wiznumurthicollection,KOTA DENPASAR,53370922,Tasbih Kayu Cendana Keraton Jogja 99 Biji,48,0,5,Lokal,7,35000.0,35000.0,35000.0,0,0,,https://shopee.co.id/Tasbih-Kayu-Cendana-Keraton-Jogja-99-Biji-i.8195263.53370922
76034616,bidarabukoll,KAB. BULELENG,2084859801,Tasbih kayu walikukun dan kayu bidara 99,9,0,1,Tidak Ada Merek,3,85000.0,85000.0,85000.0,0,0,,https://shopee.co.id/Tasbih-kayu-walikukun-dan-kayu-bidara-99-i.76034616.2084859801
76034616,bidarabukoll,KAB. BULELENG,1974635222,Tasbih kayu  bidara 99  7mm,19,0,1,Tidak Ada Merek,9,70000.0,70000.0,70000.0,0,0,,https://shopee.co.id/Tasbih-kayu--bidara-99--7mm-i.76034616.1974635222
146689852,imelbsa,KAB. JEMBRANA,7571964427,TASBIH DIGITAL KAYU & DOFF,50,0,2,,2,65000.0,65000.0,65000.0,0,0,,https://shopee.co.id/TASBIH-DIGITAL-KAYU-&-DOFF-i.146689852.7571964427
19121655,lindaacc,KOTA DENPASAR,466580491,tasbih rambut sedana 33 butir 88,49,0,1,Tidak Ada Merek,0,165000.0,165000.0,165000.0,0,0,,https://shopee.co.id/tasbih-rambut-sedana-33-butir-88-i.19121655.466580491
16545975,craft_loverz,KAB. TABANAN,15609774684,SUNFLOWER CROWN METAL Bahan Hias Tasbih Blink Bahan Craft Handmade DIY,4,0,7,,2,7500.0,7500.0,7500.0,0,0,,https://shopee.co.id/SUNFLOWER-CROWN-METAL-Bahan-Hias-Tasbih-Blink-Bahan-Craft-Handmade-DIY-i.16545975.15609774684
136996150,queen_beautystore,KOTA DENPASAR,9667756472,Jual Sajadah Besar Turki Wangi Parfum Warna HITAM Tebal Halus Box  Tasbih Limited,763,0,4,,1,74900.0,74900.0,74900.0,0,0,,https://shopee.co.id/Jual-Sajadah-Besar-Turki-Wangi-Parfum-Warna-HITAM-Tebal-Halus-Box--Tasbih-Limited-i.136996150.9667756472
